381,434
471,343
354,221
286,773
155,661
160,414
158,661
189,872
156,421
144,674
240,578
226,350
594,227
374,689
342,478
576,244
499,321
114,467
698,125
378,686
147,436
256,327
687,379
227,116
457,129
875,85
20,218
48,676
790,273
101,480
784,281
120,222
177,893
451,137
236,594
390,439
395,434
155,674
587,486
175,658
155,436
287,306
175,418
289,548
424,67
492,580
221,130
692,145
485,351
364,472
253,585
353,485
375,468
323,277
169,676
228,133
109,498
42,451
407,99
692,391
113,493
392,213
159,692
279,333
469,142
299,316
126,489
894,92
148,469
54,694
924,922
462,391
565,293
441,175
252,366
699,166
169,696
345,277
249,131
257,126
62,450
237,147
22,492
201,72
74,202
78,200
235,49
193,671
907,715
151,232
234,394
184,688
682,189
189,442
167,467
167,228
56,472
79,692
468,63
453,79
38,254
691,185
110,284
388,492
134,265
395,247
228,179
913,965
76,465
919,960
593,290
498,398
194,459
454,94
458,96
380,272
283,136
174,487
286,379
983,911
472,85
95,464
38,281
57,265
909,751
739,920
490,174
280,383
728,939
483,189
198,234
145,289
42,280
79,492
700,722
985,924
800,867
86,488
525,902
180,493
296,382
183,258
484,95
702,976
98,485
500,941
261,86
286,61
900,540
885,9
600,603
922,764
705,983
834,856
161,290
608,842
819,878
846,608
81,271
990,942
902,790
810,881
721,730
554,902
913,546
735,727
836,867
947,517
508,713
178,295
992,950
623,840
323,902
514,710
914,797
306,921
825,401
974,738
839,633
859,619
733,741
630,602
652,824
284,99
543,935
927,553
952,528
623,856
811,429
766,719
629,859
442,3
701,542
654,830
755,974
753,734
950,779
885,601
646,840
568,921
628,861
561,928
769,720
603,643
774,717
347,904
948,787
304,707
749,503
917,577
709,309
975,761
852,641
756,740
738,760
962,536
798,701
873,629
443,817
584,918
955,547
457,802
894,849
716,546
519,988
902,18
792,715
225,6
303,961
530,976
778,972
504,523
353,916
710,559
310,716
977,778
523,506
226,802
748,767
727,787
119,911
508,525
636,638
604,428
338,939
629,409
421,851
972,783
951,562
655,861
550,965
765,750
563,955
749,771
224,812
561,958
218,820
775,507
595,929
508,533
18,925
907,36
980,303
582,942
741,301
910,374
985,544
221,823
832,454
832,456
200,604
874,414
784,504
328,963
479,814
926,366
419,875
385,909
628,669
579,717
891,882
983,551
541,992
491,802
716,580
513,783
971,324
723,332
921,379
448,851
354,945
573,968
967,577
582,719
888,657
859,686
516,307
508,318
903,57
894,893
350,711
652,650
731,576
867,681
815,491
428,641
826,243
788,523
828,240
333,735
318,750
368,703
236,835
314,757
402,426
666,407
656,416
569,989
249,829
45,925
934,39
431,881
384,934
442,875
873,444
852,467
866,211
475,602
537,784
562,759
928,154
632,207
555,529
578,748
628,455
819,264
945,39
473,854
895,674
482,604
535,796
153,936
